city,station_name,station_number,variable,bom_statistic_label,number_of_years,start_year,end_year,source_page,source_csv
Perth,PERTH METRO,009225,clear_days,Mean number of clear days for years null to null,,,,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,cloudy_days,Mean number of cloudy days for years null to null,,,,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,rh_9am,Mean 9am relative humidity (%) for years 1994 to 2010,17,1994,2010,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,rh_3pm,Mean 3pm relative humidity (%) for years 1994 to 2011,17,1994,2011,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,cloud_9am,Mean 9am cloud cover (okas) for years null to null,,,,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,cloud_3pm,Mean 3pm cloud cover (oktas) for years null to null,,,,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,mean_max_temp_c,Mean maximum temperature (°C) for years 1887 to 2026,101,1887,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,mean_min_temp_c,Mean minimum temperature (°C) for years 1887 to 2026,101,1887,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,days_ge_30,Mean number of days >= 30 °C for years 1887 to 2026,101,1887,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,days_ge_35,Mean number of days >= 35 °C for years 1887 to 2026,101,1887,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
